Date,Tests,ConfirmedCases,Deaths
2020-01-25,31,0,0
‎ ,52,0,0
‎ ,73,0,0
‎ ,97,0,0
‎ ,130,0,0
‎ ,161,0,0
‎ ,177,2,0
‎ ,203,2,0
‎ ,266,2,0
,326,2,0
,416,2,0
2020-02-05,468,2,0
,566,3,0
,620,3,0
,686,3,0
,795,4,0
,1114,8,0
,1358,8,0
,1758,8,0
,2521,9,0
,2964,9,0
,2992,9,0
2020-02-16,3109,9,0
,4501,9,0
,4916,9,0
,5207,9,0
,5549,9,0
,5885,9,0
,6152,9,0
,6324,9,0
,6536,13,0
,6795,13,0
,7132,13,0
2020-02-27,7690,13,0
,19,0
,10483,23,0
,11750,35,0
,13525,40,0
,13911,51,0
,16659,85,0
,18083,114,0
,20338,160,1
,21460,206,2
,23513,271,2
2020-03-09,24960,321,3
,26261,373,7
,27476,456,7
,29764,590,9
,32771,797,10
,37746,1061,28
,40279,1391,43
,44105,1543,65
,50442,1950,81
,56221,2626,115
,64621,3269,158
2020-03-20,66976,3983,194
,72818,5018,250
,78340,5683,285
,83945,6650,359
,90436,8077,508
,97019,9529,695
,104866,11658,878
,113777,14543,1162
,120776,17089,1456
,127737,19522,1670
,134946,22141,2044
2020-03-31,143186,25150,2426
,152979,29474,3096
,163194,33718,3748
,173784,38168,4462
,183190,41903,5222
,195524,47806,5866
,208837,51608,6434
,213181,55242,7472
,232708,60733,8506
,243421,65077,9616
,256605,70272,10768
2020-04-11,269598,78991,11608
,282279,84279,12294
,290720,88621,13038
,302599,93873,14085
,313769,98476,14927
,327608,103093,15956
,341551,108692,16892
,357023,114217,18007
,372967,120067,18505
,386044,124743,19064
,397670,129044,20237
2020-04-22,411192,133495,21074
,425821,138078,21801
,444222,143464,22807
,517836,148377,23650
,543413,152840,24070
,569768,157149,24408
,599339,161145,25319
,32794,165221,26114
,687369,171253,26788
,762279,177454,27528
,825946,182260,28149
2020-05-03,882343,186599,28464
,945299,190584,28752
,1015138,194990,29446
,1072144,201101,30098
,1139626,206715,30638
,1207069,211364,31265
,1270408,215260,31610
,1334770,219183,31879
,1400107,223060,32090
,1460517,226463,32720
,1522258,229705,33216
2020-05-16,1593902,233151,33644
,1663492,236711,34028
,1742028,240161,34508
,1818712,243695,34678
,1887051,246406,34838
,,247217,35386
,1996648,248293,35755
,2064329,250908,36093
,2144626,254195,36451
,,257154,36734
,,259559,37175
2020-05-25,,261184,37297
,,265227,37433
,,267240,37876
,,269127,38292
,,271222,38665
,,272826,38895
,,274762,39010
,,276332,39121
,,277985,39447
,,279856,39812
,,281661,39989
2020-06-05,,283311,40347
,,284868,40554
,,286194,40631
,,287399,40686
,,289140,40975
,,290143,41225
,,291409,41377
,,292950,41581
,,294375,41764
,,295889,41800
,,296857,41838
2020-06-16,,298136,42074
,,299251,42258
,,300469,42395
,,301815,42568
,,303110,42698
,,304331,42741
,,305289,42756
,,306210,42927
,,306862,43081
,,307980,43230
,,309360,43414
2020-06-27,,310250,43514
,,311151,43550
,,311965,43575
,,312654,43730
,,313483,43906
,,283757,43995
,,284276,44131
,,284900,44198
,,285416,44220
,,285768,44236
,,286349,44391
2020-07-08,,286979,44517
,,287621,44602
,,288133,44650
,,288953,44798
,,289603,44819
,,290133,44830
,,291373,44968
,,291911,45053
,,292552,45119
,,293239,45233
,,294066,45273
,,294792,45301
2020-07-20,,295372,45312
,,295817,45422
,,296377,45501
,,297146,45554
,,297914,45677
,,298681,45738
,,299426,45752
,,300111,45759
,,300692,45878
,,301455,45961
,,302301,45999
,,303181,46119
2020-08-01,,303952,46193
